Question,Answer
~reverse,True
ich,я Nominativ (1 лицо ед.ч.)
mich,меня Akkusativ (1 лицо ед.ч.)
mir,мне Dativ (1 лицо ед.ч.)
meiner,моего Genitiv (1 лицо ед.ч.)
du,ты Nominativ (2 лицо ед.ч.)
dich,тебя Akkusativ (2 лицо ед.ч.)
dir,тебе Dativ (2 лицо ед.ч.)
deiner,твоего Genitiv (2 лицо ед.ч.)
er,он Nominativ (3 лицо ед.ч. муж.р.)
ihn,его Akkusativ (3 лицо ед.ч. муж.р.)
ihm,ему Dativ (3 лицо ед.ч. муж.р.)
seiner,его Genitiv (3 лицо ед.ч. муж.р.)
sie,она Nominativ (3 лицо ед.ч. жен.р.)
sie,её Akkusativ (3 лицо ед.ч. жен.р.)
ihr,ей Dativ (3 лицо ед.ч. жен.р.)
ihrer,её Genitiv (3 лицо ед.ч. жен.р.)
es,оно Nominativ (3 лицо ед.ч. ср.р.)
es,его Akkusativ (3 лицо ед.ч. ср.р.)
ihm,ему Dativ (3 лицо ед.ч. ср.р.)
seiner,его Genitiv (3 лицо ед.ч. ср.р.)
wir,мы Nominativ (1 лицо мн.ч.)
uns,нас Akkusativ (1 лицо мн.ч.)
uns,нам Dativ (1 лицо мн.ч.)
unser,нашего Genitiv (1 лицо мн.ч.)
ihr,вы Nominativ (2 лицо мн.ч.)
euch,вас Akkusativ (2 лицо мн.ч.)
euch,вам Dativ (2 лицо мн.ч.)
euer,вашего Genitiv (2 лицо мн.ч.)
sie,они Nominativ (3 лицо мн.ч.)
sie,их Akkusativ (3 лицо мн.ч.)
ihnen,им Dativ (3 лицо мн.ч.)
ihrer,их Genitiv (3 лицо мн.ч.)
Sie,Вы Nominativ (вежл. форма)
Sie,Вас Akkusativ (вежл. форма)
Ihnen,Вам Dativ (вежл. форма)
Ihrer,Вашего Genitiv (вежл. форма)
mein,"Притяжательные Именительный, муж. род, ich"
mein,"Притяжательные Именительный, ср. род, ich"
meine,"Притяжательные Именительный, жен. род, ich"
meine,"Притяжательные Именительный, мн. число, ich"
meinen,"Притяжательные Винительный, муж. род, ich"
mein,"Притяжательные Винительный, ср. род, ich"
meine,"Притяжательные Винительный, жен. род, ich"
meine,"Притяжательные Винительный, мн. число, ich"
meinem,"Притяжательные Дательный, муж. род, ich"
meinem,"Притяжательные Дательный, ср. род, ich"
meiner,"Притяжательные Дательный, жен. род, ich"
meinen,"Притяжательные Дательный, мн. число, ich"
meines,"Притяжательные Родительный, муж. род, ich"
meines,"Притяжательные Родительный, ср. род, ich"
meiner,"Притяжательные Родительный, жен. род, ich"
meiner,"Притяжательные Родительный, мн. число, ich"
dein,"Притяжательные Именительный, муж. род, du"
dein,"Притяжательные Именительный, ср. род, du"
deine,"Притяжательные Именительный, жен. род, du"
deine,"Притяжательные Именительный, мн. число, du"
deinen,"Притяжательные Винительный, муж. род, du"
dein,"Притяжательные Винительный, ср. род, du"
deine,"Притяжательные Винительный, жен. род, du"
deine,"Притяжательные Винительный, мн. число, du"
deinem,"Притяжательные Дательный, муж. род, du"
deinem,"Притяжательные Дательный, ср. род, du"
deiner,"Притяжательные Дательный, жен. род, du"
deinen,"Притяжательные Дательный, мн. число, du"
deines,"Притяжательные Родительный, муж. род, du"
deines,"Притяжательные Родительный, ср. род, du"
deiner,"Притяжательные Родительный, жен. род, du"
deiner,"Притяжательные Родительный, мн. число, du"
