Question,Answer
~reverse,True
Wie heißen Sie?,Как Вас зовут?
Woher kommen Sie?,Откуда Вы?
Ich verstehe nicht,я не понимаю
Sprechen Sie Russisch?,Вы говорите по-русски?
Ich spreche ein bisschen Deutsch,я немного говорю по-немецки
Ich lerne Deutsch,я учу немецкий
Guten Tag,добрый день
Auf Wiedersehen,до свидания
Verzeihung,извините
hallo,здравствуйте,-
danke,спасибо,-
tschüss,пока,-
bitte,пожалуйста,-
Entschuldigung,простите,-
gruss,приветствие
willkommen,добро пожаловать
Wie viel kostet es?,How much is it?,sentences / questions
Wie lange dauert es?,How long does it take?,sentences / questions
Gibt es …?,Is there …?,sentences / questions
Ich hätte gerne …,I would like ...,sentences
Ich brauche …,I need ...,sentences
Kein Problem!,No problem!,sentences
Hallo!,Hi!,communication
Guten Tag!,Hello!,communication
Tschüß!,Goodbye! / Bye!,communication
Danke!,Thank you!,communication
Bitte!,Please!,communication
Entschuldigung!,Sorry!,communication
Stopp!,Stop!,communication
Prost,Cheers,food
