Question,Answer
~question_language,ru
~answer_language,de
~pause,5000

"Кошка дает ребенку собаку. Определенные артикли.","Die Katze gibt dem Kind den Hund."
"Собака дает кошке ребенка. Определенные артикли.","Der Hund gibt der Katze das Kind."
"Ребенок дает собаке кошку. Определенные артикли.","Das Kind gibt dem Hund die Katze."

"Кошка дает ребенку собаку. Неопределенные артикли.","Eine Katze gibt einem Kind einen Hund."
"Собака дает кошке ребенка. Неопределенные артикли.","Ein Hund gibt einer Katze ein Kind."
"Ребенок дает собаке кошку. Неопределенные артикли.","Ein Kind gibt einem Hund eine Katze."

"Кошка дает собаке ребенка. Определенные артикли.","Die Katze gibt dem Hund das Kind."
"Собака дает ребенку кошку. Определенные артикли.","Der Hund gibt dem Kind die Katze."
"Ребенок дает кошке собаку. Определенные артикли.","Das Kind gibt der Katze den Hund."

"Кошка дает собаке ребенка. Неопределенные артикли.","Eine Katze gibt einem Hund ein Kind."
"Собака дает ребенку кошку. Неопределенные артикли.","Ein Hund gibt einem Kind eine Katze."
"Ребенок дает кошке собаку. Неопределенные артикли.","Ein Kind gibt einer Katze einen Hund."

"Кошка дает родителей собаки ребенку. Определенные артикли.","Die Katze gibt dem Kind die Eltern des Hundes."
"Родители дают собаку ребенка кошке. Определенные артикли.","Die Eltern geben der Katze den Hund des Kindes."
"Собака дает ребенка кошки родителям. Определенные артикли.","Der Hund gibt den Eltern das Kind der Katze."
"Ребенок дает кошку родителей собаке. Определенные артикли.","Das Kind gibt dem Hund die Katze der Eltern."

"Кошка дает родителей собаки ребенку. Неопределенные артикли.","Eine Katze gibt einem Kind Eltern eines Hundes."
"Родители дают собаку ребенка кошке. Неопределенные артикли.","Eltern geben einer Katze einen Hund eines Kindes."
"Собака дает ребенка кошки родителям. Неопределенные артикли.","Ein Hund gibt Eltern ein Kind einer Katze."
"Ребенок дает кошку родителей собаке. Неопределенные артикли.","Ein Kind gibt einem Hund eine Katze von Eltern."
