De,Ru
~reverse,True
Wie heißen Sie?,Как Вас(ув) зовут?
Woher kommen Sie?,Откуда Вы(ув)?
Ich verstehe nicht,я не понимаю
Sprechen Sie Russisch?,Вы(ув) говорите по-русски?
Ich spreche ein bisschen Deutsch,я немного говорю по-немецки
Ich lerne Deutsch,я учу немецкий
Guten Tag,добрый день
Auf Wiedersehen,до свидания
Verzeihung,извините
hallo,здравствуйте,-
danke,спасибо,-
tschüss,пока,-
bitte,пожалуйста,-
Entschuldigung,простите,-
gruss,приветствие
willkommen,добро пожаловать
Wie viel kostet es?,How much is it?,sentences / questions
Wie lange dauert es?,How long does it take?,sentences / questions
Gibt es …?,Is there …?,sentences / questions
Ich hätte gerne …,I would like ...,sentences
Ich brauche …,I need ...,sentences
Kein Problem!,No problem!,sentences
Hallo!,Привет!
Guten Tag,добрый день
Tschüß!,Пока!
Danke!,Спасибо!
Bitte!,Пожалуйста!
Entschuldigung!,Sorry!,communication
Stopp!,Stop!,communication
Prost,Cheers,food
Vorsicht!,Осторожно!
Willkommen!,Добро пожаловать!
Gerne!,Охотно! С удовольствием!
Tschüss!,Пока!
Auf Wiederhören!,Услышимся!
Achtung!,Внимание!
Auf Wiedersehen!,До встречи!
Auf Wiederhören!,Услышимся!
