Question,Answer
~reverse,True
ich bin,я есть
du bist,ты есть
er/sie/es ist,он/она/оно есть
wir sind,мы есть
ihr seid,вы есть
sie/Sie sind,они/Вы есть
ich habe,я имею
du hast,ты имеешь
er/sie/es hat,он/она/оно имеет
wir haben,мы имеем
ihr habt,вы имеете
sie/Sie haben,они/Вы имеете
ich lerne, я учу
du lernst, ты учишь
er/sie/es lernt, он/она/оно учит
wir lernen, мы учим
ihr lernt, вы учите (мн.ч.)
sie/Sie lernen, они/Вы учите
ich mache,я делаю
du machst,ты делаешь
"er, sie, es macht","он, она, оно делает"
wir machen,мы делаем
ihr macht,вы делаете
sie machen,они делают
ich arbeite,я работаю
du arbeitest,ты работаешь
"er, sie, es arbeitet","он, она, оно работает"
wir arbeiten,мы работаем
ihr arbeitet,вы работаете
sie arbeiten,они работают
ich tanze,я танцую
du tanzt,ты танцуешь
"er, sie, es tanzt","он, она, оно танцует"
wir tanzen,мы танцуем
ihr tanzt,вы танцуете
sie tanzen,они танцуют
ich werde sein (haben),я буду (иметь)
du wirst sein (haben),ты будешь (иметь)
er/sie/es wird sein (haben),он/она/оно будет (иметь)
wir werden sein (haben),мы будем (иметь)
ihr werdet sein (haben),вы будете (иметь)
sie/Sie werden sein (haben),они/Вы будут (иметь)
