Question,Answer
Какая комната большая и какая маленькая? - Welches Zimmer ist groß und welches ist klein?,Welches Zimmer ist groß und welches ist klein?
Какой студент тут сидит?,Welcher Schüler sitzt hier?
Какую газету он читает?,Welche Zeitung liest er?
Какой магазин тебе нравится?,Welches Geschäft magst du?
На каких языках ты говоришь? (дословно: Какие языки говоришь ты),Welche Sprachen sprichst du?
Какой фильм сегодня в кино?,Welcher Film ist heute im Kino?
Какой актёр выиграет Оскар?,Welcher Schauspieler gewinnt Oskar?
Какая девочка его дочь?,Welches Mädchen ist seine Tochter?
Какие книги ты охотно читаешь?,Welche Bücher liest du gerne?
Какие сериале нравятся Анне?,Welche Fernsehserien gefallen Anna? 
Эта комната большая.,Dieses Zimmer ist zu groß.
Этот ученик не мой друг.,Dieser Schüler ist nicht mein Freund.
Эта девочка не его дочь.,Dieses Mädchen ist nicht seine Tochter.
Эта газета новая.,Diese Zeitung ist neu.
Эти языки прекрасны.,Diese Sprachen sind wunderschön.
Этот фильм делает Тарантино.,Dieser Film macht Tarantino.
Эти книги пишет Набоков.,Diese Bücher schreibt Nabokov.
Этот актёр – Брэд Питт.,Dieser Schauspieler ist Brad Pitt.
Этот магазин закрывается.,Dieses Geschäft schließt bald.
Этот дом слишком старый.,Dieses Haus ist zu alt.
На какой женщине ты женишься? (дословно: Какая женщина женишься ты?),Welche Frau heiratest du?
Какие дети играют в теннис?,Welche Kinder spielen Tennis?
Этот автомобиль дорогой.,Dieses Auto ist teuer.
Какая собака играет «Комиссара Рекса»?,Welcher Hund spielt Kommisar Rex?
Эти учителя работают онлайн.,Diese Lehrer arbeiten online.
Какие учителя работают онлайн?,Welche Lehrer arbeiten online?
Какие сладости он покупает?,Welche Süßigkeiten kauft er?
Какой кофе ты пьёшь?,Welchen Kaffee trinkst du?
Эти фильмы не плохие.,Diese Filme sind nicht schlecht.
Этот ребёнок идёт в бассейн.,Dieses Kind geht ins Schwimmbad.
Какую сумку мы берем обязательно? Эту сумку мы берем обязательно. — Welche Tasche nehmen wir unbedingt? Diese Tasche nehmen wir unbedingt.,Welche Tasche nehmen wir unbedingt? Diese Tasche nehmen wir unbedingt.
Какому ребенку ты покупаешь книгу? Этому ребенку ты покупаешь книгу.,Welchem Kind kaufst du das Buch? Diesem Kind kauft du das Buch.
Какой разговор мы слышим сейчас? Этот разговор мы слышим сейчас.,Welches Gespräch hören wir jetzt? Dieses Gespräch hören wir jetzt.
Какую рубашку носят они часто? Эту рубашку они носят часто.,Welches Hemd tragen sie oft? Dieses Hemd  tragen sie oft.
Какую обувь продает девочка? Эту обувь продает девочка.,Welche Schuhe verkauft das Mädchen? Diese Schuhe verkauft das Mädchen.
Какой фильм ты считаешь интересным? Этот фильм ты считаешь интересным.,Welchen Film findest du interessant? Diesen Film findest du interessant.
Какая лампа стоит много? Эта лампа стоит много.,Welche Lampe kostet viel? Diese Lampe kostet viel.
Какой велосипед старый? Этот велосипед старый.,Welches Fahrrad ist alt? Dieses Fahrrad ist alt.
Какие брюки они покупают в магазине? Эти брюки они покупают в магазине.,Welche Hose kaufen sie im Geschäft? Diese Hose kaufen sie im Geschäft.
Какая блузку тебе нужна? Тебе нужна эта блузка.,Welche Bluse brauchst du? Du brauchst diese Bluse.
Какой костюм ты меряешь? Ты меряешь этот костюм.,Welchen Anzug probierst du an? Diesen Anzug probierst du an.
Какой цвет яркий? Этот цвет яркий.,Welche Farbe ist bunt? Diese Farbe ist bunt.
Какой чемодан он здесь ищет? Этот чемодан он ищет здесь.,Welchen Koffer sucht er hier? Diesen Koffer sucht er hier.
