Question,Answer
~question_language,ru
~answer_language,de
Я работаю много.,Ich arbeite viel.
Вы (формально) приходите поздно.,Sie kommen spät.
Она идет быстро.,Sie geht schnell.
Мы поем громко.,Wir singen laut.
Вы (уваж.) знаете женщину.,Sie kennen die Frau.
Я ем суп.,Ich esse die Suppe.
Он красиво рисует.,Er malt schön.
Девочка учит слова.,Das Mädchen lernt die Wörter.
Вы говорите много.,Ihr sprecht viel.
Друг играет.,Der Freund spielt.
Собака сидит.,Der Hund sitzt.
Мама готовит ужин.,Die Mutter kocht das Abendessen.
Папа чинит машину.,Der Vater repariert das Auto.
Дети идут в школу.,Die Kinder gehen in die Schule.
Мы живем в Австрии.,Wir wohnen in Österreich.
Вы (формально) ездите медленно.,Sie fahren langsam.
Она хорошо танцует.,Sie tanzt gut.
Ты слушаешь музыку.,Du hörst die Musik.
Сестра плачет.,Die Schwester weint.
Родители пьют пиво.,Die Eltern trinken das Bier.
Вы делаете домашнюю работу.,Ihr macht die Hausaufgabe.
Бабушка покупает куклу.,Die Oma kauft die Puppe.
Кошка остается дома.,Die Katze bleibt zuhause.
Девочка поет песню.,Das Mädchen singt das Lied.
Вы (формально) заказываете пиццу.,Sie bestellen die Pizza.
Мы завтракаем вместе.,Wir frühstücken zusammen.
Друзья приезжают вовремя.,Die Freunde kommen pünktlich.
Они стирают вещи.,Sie waschen die Kleidung.
Вы (формально) много помогаете.,Sie helfen viel.
Я поливаю цветы.,Ich gieße die Blumen.
