Wort,Ru
die,"[определённый артикль женского рода в единственном числе / определенный артикль множественного числа, как правило, не переводится] / кристалл {м}"
der,"[определённый артикль мужского рода в единственном числе, как правило, не переводится] / тот / он"
in,в / на [+prep.]
und,"и / а [противительный, соединительный] / да [соединительный]"
das,"[определённый артикль среднего рода в единственном числе, как правило, не переводится] / это"
eine,
ist,
ein,"[неопределённый артикль, как правило, не переводится]"
sie,они / она / вы
was,что
den,
man,
zu,слишком / к [+dat.]
von,от
einer,
bei,у [+gen.] / при / возле [+gen]
jahre,года́ {мн} / годы {мн}
im,в [+prep.]
des,
mit,с [+instr.]
zur,к [+dat.]
an,у [+gen.] / на [+prep.] / при [+prep.] [вблизи]
hat,
nicht,не / ни [при глаголе с отрицанием]
bundesrepublik,федеративная республика {ж}
kann,
alle,все
wenn,кабы [разг.] / ежели [устр.] [разг.] / если / когда / коли [разг.] [если]
ddr,
dem,
sich,себя [в форме вежливости и при подлежащем в третьем лице ед. ч. и мн. ч.]
es,оно
einen,
er,он
wird,
staat,штат {м} [единица административного деления] / государство {с} / держава {ж} [государство]
darf,
werden,становление {с} / становиться [несов.] / стать [сов.] [сделаться]
wie,"аки [устр.] [как, подобно] / как / словно [как, подобно] / точно [как, словно] / яко [устр.] [как]"
bundestag,бундестаг {м}
muss,необходимость {ж}
wer,кто
nach,"согласно [+dat.] / через [о прошедшем] / в [+akk.] [для обозначения направления, на вопрос ”куда?”] / после [+gen.]"
partei,"сторона {ж} [в процессе, договоре] / партия {ж}"
zum,к [+dat.]
nur,исключительно / всего-навсего [разг.] / всего лишь / лишь [только] / один [только] / только
welches,
auf,филин {м} [bubo bubo] / на / наверху
einem,
sind,
als,словно / в качестве / как / когда / нежели [устр.] [книжн.] / чем
ich,я {с} [нескл.] / я
weil,ибо [книжн.] / поскольку [так как] / потому что / так как
bis,до / до / по [+akk.] [временный] / до [+gen.] / пока не
bedeutet,
durch,волею [+gen.] [разг.] / благодаря [+dat.] / за счёт / по [+dat.] / сквозь [+akk.] / через
vor,впереди [+gen.] / до / перед [+instr.]
frau,гражданочка {ж} [уменьш.] / госпожа {ж} [как обращение] / жена {ж} / женщина {ж}
haben,кре́дит {м} / возыметь [сов.] [книжн.] / иметь [несов.]
welche,
um,"вкруг [+gen.] [устр.] / вокруг [+gen.] / вокруг / в [для обозначения времени] / о [указывает на предмет или лицо, в отношении которых совершается какое-л. действие]"
regierung,царство {с} [царствование] / царствование {с} [правление] / правительство {с}
recht,довольно [весьма] / право {с}
am,на [+prep.]
parteien,
aus,аут {м} / из [+gen.]
menschen,люди {мн}
land,дача {ж} [загородная местность] / страна {ж}
viele,многие / много кто
bundeskanzler,федеральный канцлер {м}
union,партийный союз {м} хдс/хсс [фрг] / союз {м} / уния {ж}
war,
gesetze,
wahl,выборы {мн} / выбор {м} / избрание {с}
gibt,
beim,у [+gen.]
gegen,"против [+gen.] / к [около] / около [приблизительно] / взамен [указывает на замену, вознаграждение] / за [указывает на замену, вознаграждение] / в отношении / перед [по отношению к] / по отношению к / с [по отношению к] / вопреки / помимо / на [по направлению к] / по сравнению с / сравнительно с / по направлению к [+dat.]"
wahlen,выборы {мн}
welchem,
bundesrat,бундесрат {м}
parlament,парламент {м}
wann,когда
ihre,
sowjetunion,советский союз {м}
mann,муж {м} / муж {м} [устр.] [возв.] [мужчина] / гражданин {м} [разг.] [мужчина] / мужик {м} [разг.] [мужчина] / мужчина {м} / человек {м} [мужчина]
bundeskanzlerin,федеральный канцлер {м} [женщина]
spd,
jahr,год {м}
meinungsfreiheit,свобода {ж} сло́ва
eltern,родители {мн} / родичи {мн} [разг.] [родители]
mehr,больше
meisten,
sachsen,саксония {ж} / саксы {мн}
bekommt,
kind,детка {ж} [разг.] / дитя {с} / малолетка {м} {ж} [разг.] [ребёнок] / малолеток {м} [разг.] [ребёнок] / ребёнок {м}
zeit,"пора́ {ж} [время, период, эпоха] / время {с}"
frankreich,франция {ж}
eu,
tun,образ {м} действий / делать [несов.] / сделать [сов.]
machen,изготавливать [несов.] [производить] / изготовить [сов.] [произвести] / совершать [несов.] / совершить [сов.] / поступать [несов.] / поступить [сов.] [совершить какой-л. поступок] / изготовлять [несов.] [производить] / производить [несов.] / сработать [изготовить] [разг.] [сов.] / делать [несов.] / сделать [сов.] / соорудить [сов.] [разг.] [сделать] / сооружать [несов.] [разг.] [делать]
personen,
abgeordneten,
bundesland,(федеральная) земля {ж}
oder,али [разг.] [поэт.] [или] / аль [разг.] [поэт.] [или] / или / одра {ж}
aufgabe,"урок {м} [разг.] [работа, заданная на определённый срок] / задача {ж} / оставление {с} [должности] / задание {с}"
vom,от [+gen.]
berlin,берлин {м}
ende,финиш {м} [окончание] / капут {м} [разг.] [конец] / кончина {ж} [возв.] / окончание {с} [конец] / конец {м} / концовка {ж} / финал {м} / хана́ {ж} [разг.] [презр.] [конец]
usa,
wurde,
warschauer,варшавский / варшавянин {м}
keine,
arbeit,дело {с} [занятие] / работа {ж} / труд {м}
seine,
ihr,"их / ей / вы / ваш [в личных письмах, официальных документах, адресованных конкретному лицу] / ваш [форма вежливости]"
gehen,отправиться [сов.] [пойти] / спортивная ходьба {ж} / хождение {с} / идти [несов.] / пойти [сов.] / ступать [несов.] [идти] / ходить [несов.]
ohne,без [+gen.]
gericht,кушанье {с} / блюдо {с} / суд {м}
mindestens,как минимум / по крайней мере / по меньшей мере
richterin,судья {ж}
bayern,бавария {ж}
grundgesetz,конституция {ж} [основной закон] / основной закон {м}
sein,есть [быть] / бывать [несов.] [находиться] / находиться [несов.] [быть] / бытие {с} / быть [несов.] [существовать] / его [притяжательное местоимение] / свой / являться [несов.]
fraktion,фракция {ж}
bundesregierung,федеральное правительство {с}
leben,век {м} [жизнь] / живот {м} [устр.] [жизнь] / жизнь {ж} / существование {с} [жизнь] / жить [несов.] / поживать [несов.] [жить]
republik,республика {ж}
demonstrationen,
abgeordnete,депутат {м} [женщина] / депутатка {ж} [разг.]
cdu,
csu,
fdp,
eines,
nennt,
arbeitgeber,работодатель {м}
arbeitnehmer,служащий {м}
arbeitnehmerinnen,
stimmen,быть верным [соответствовать истине] / соответствовать истине / голосовать [несов.] [отдавать свой голос]
gemeinde,паства {ж} [собир.] / коммуна {ж} / община {ж}
arbeiten,работать [несов.] / трудиться [несов.]
zweiten,
weltkrieg,мировая война {ж}
rot,червлень {м} / красный / червлёный
stelle,место {с}
damit,"c тем / с тем, чтобы"
einwohner,житель {м}
frei,бесплатно / бесплатный / вольготный [разг.] / вольно / вольный [свободный] / свободно / свободный
waren,товары {мн}
verfassung,состояние {с} / конституция {ж} / основной закон {м}
zwei,двойка {ж} / два
freie,
soziale,
gewalt,насилие {с} / власть {ж} / насильство {с} [разг.]
polizei,милиция {ж} [государственный орган] / полиция {ж}
schulen,
bundesversammlung,федеральное собрание {с}
christlich,христианский
