Question,Answer
На меню в кафе заявляют претензию.,Man reklamiert das Menü im Cafe.
Осматривают достопримечательности в городе.,Man besichtigt die Sehenswürdigkeiten in der Stadt.
На стоянке сигналят.,Man hupt auf dem Parkplatz. 
Билеты не покупают.,Man kauft keine Fahrkarten. 
Здесь удивляют вкусными блюдами.,Man überrascht hier mit leckeren Gerichten. 
Проверяют проекты в бюро.,Man prüft die Projekte im Büro. 
Обращают внимание на законы.,Man achtet auf die Gesetze. 
Мечтают о путешествиях.,Man träumt von Reisen. 
Отвечают на вопрос.,Man antwortet auf die Frage. 
Ремонтируют железную дорогу.,Man renoviert die Bahn. 
Не стоит всё преувеличивать.,Man soll nicht alles übertreiben. 
Следует защищать окружающую среду.,Man soll die Umwelt schützen. 
Разрешается декорировать помещения.,Man darf diese Räume dekorieren.
Следует носить теплую одежду зимой.,Man soll im Winter warme Kleidung tragen. 
Музейные брошюры любят читать.,Man mag Museumsbroschüren lesen. 
Ее нужно завтра встретить.,Man muss sie morgen treffen. 
Здесь не разрешают курить.,Man darf hier nicht rauchen. 
Хотят посетить музеи.,Man will diese Museen besuchen.  
Необходимо подготовиться к празднику.,Man muss sich zum Fest vorbereiten. 
Следует выключать мобильные телефоны в кино.,Man soll Handys im Kino ausschalten. 
Следует сообщить об изменениях.,Man soll über neue Veränderungen berichten. 
Необходимо к нему обратиться.,Man muss sich an ihn wenden.
Необходимо проверить проекты в офисе.,Man muss Projekte im Büro prüfen.
Необходимо тормозить перед светофором.,Man muss vor der Ampel bremsen. 
Пекут пироги и торты.,Man bäckt Kuchen und Torten. 
Нуждаются в отдыхе.,Man braucht Erholung.
Рекомендуют больше воды летом.,Man empfiehlt mehr Wasser im Sommer. 
Часто падают.,Man fällt oft. 
Ловят рыбу в реке.,Man fängt Fische im Fluss.
Едят корм.,Man frisst Futter.
Придерживаются диеты.,Man hält eine Diät. 
Дают кредит.,Man gibt einen Kredit. 
Помогают бездомным.,Man hilft den Obdachlosen.  
Висят на телефоне.,Man hängt am Telefon. 
Меряют температуру.,Man misst die Temperatur. 
Растут почти целый год.,Man wächst fast das ganze Jahr. 
Стирают одежду.,Man wäscht die Kleidung.  
Ездят на велосипеде на работу.,Man fährt mit dem Fahrrad zur Arbeit. 
Обещают дождь завтра.,Man verspricht Regen morgen.  
Сладости едят каждый день.,Man isst Süßigkeiten jeden Tag.
