Question,Answer
~question_language,ru
~answer_language,de
Я должен работать.,Ich muss arbeiten.
Вы (формально) можете заходить.,Sie können reinkommen.
Ей следует похудеть.,Sie soll abnehmen.
Мы должны рано вставать.,Wir müssen früh aufstehen.
Вы (неформально) можете (нету запрещающего знака) припарковать машину тут.,Ihr dürft hier das Auto parken.
Мне нравится пицца.,Ich mag Pizza.
Она хочет спать.,Sie will schlafen.
Девочке следует учить слова.,Das Mädchen soll die Wörter lernen.
Вам (ihr) можно говорить громко.,Ihr dürft laut sprechen.
Тебе нельзя кушать много.,Du darfst nicht viel essen.
Ему следует больше спать.,Er soll mehr schlafen.
Ты должен учиться.,Du musst lernen.
Мальчик хочет играть.,Der Junge will spielen.
Дети не умеют читать.,Die Kinder können nicht lesen.
Мы хотим жить в Австрии.,Wir wollen in Österreich wohnen.
Вы (формально) должны прийти вовремя.,Sie müssen pünktlich kommen.
Она может хорошо танцевать.,Sie kann gut tanzen.
Тебе можно слушать музыку.,Du darfst die Musik hören.
Сестра не умеет читать.,Die Schwester kann nicht lesen.
Родителям можно пить пиво.,Die Eltern dürfen das Bier trinken.
Вам (ihr) следует сделать домашнюю работу.,Ihr sollt die Hausaufgabe machen.
Ей нельзя поздно гулять.,Sie darf nicht spät spazieren gehen.
Кошка должна остаться дома.,Die Katze muss zu Hause bleiben.
Девочка хочет куклу.,Das Mädchen will die Puppe.
Тут Вы (формально) можете купить воду.,Hier können Sie das Wasser kaufen.
Я хочу завтракать.,Ich will frühstücken.
Друзья могут приехать.,Die Freunde können kommen.
Ты должна постирать платье.,Du musst das Kleid waschen.
Вам (формально) следует помочь.,Sie sollen helfen.
Я должен идти.,Ich muss gehen.
