Question,Answer
После урока мы идём в парк., Nach dem Unterricht gehen wir in den Park.
Мария должна пойти к директору.,Maria soll zum Direktor gehen.
Я пишу (неопр) книгу.,Ich schreibe ein Buch.
Он умеет играть на пианино.,Er kann Klavier spielen.
Анна ищет (неопр) квартиру.,Anna sucht eine Wohnung.
Мама ест пирог.,Mama isst den Kuchen.
Я не приду сегодня.,Ich komme heute nicht.
Мы идём в кино.,Wir gehen ins Kino.
Она не читает книги.,Sie liest keine Bücher.
Родители не поедут в Германию.,Die Eltern fahren nicht nach Deutschland. 
Я хочу купить (неопр) мороженое.,Ich will ein Eis kaufen.
Она живёт в Берлине.,Sie wohnt in Berlin.
Скрипка – прекрасный инструмент.,Die Geige ist schön.
Ты покупаешь (неопр) платье для мамы.,Du kaufst ein Kleid für die Mutter.
Я читаю много книг.,Ich lese viele Bücher.
Маркус должен купить (неопр) машину.,Markus soll ein Auto kaufen.
Погода сегодня плохая.,Das Wetter ist heute schlecht.
Родители заказывают цветы для бабушки,Die Eltern bestellen die Blumen für die Großmutter.
"Миша учит немецкий, а Костя учит испанский.","Mischa lernt Deutsch, aber Kostya lernt Spanisch."
Я не хочу пить минеральную воду.,Ich will das Mineralwasser nicht (trinken).
Она даёт напиток.,Sie gibt das Getränk.
Я хотел бы сок (в ресторане).,Ich möchte (неопр) einen Saft.
Анна берет шоколад.,Anna nimmt die Schokolade.
Папа моет кошку.,Der Vater wäscht die Katze.
Родители прячут подарки.,Die Eltern verstecken die Geschenke.
Мы идём играть в теннис.,Wir gehen Tennis spielen.
Студенты сегодня прилежные.,Die Studenten sind heute fleißig.
Я каждый день играю на пианино.,Ich spiele jeden Tag Klavier.
Мама не умеет плавать.,Die Mutter kann nicht schwimmen.
Он покупает квартиру.,Er kauft die Wohnung.
Ты пишешь ей письмо.,Du schreibst ihr einen Brief.
