Question,Answer
~question_language,ru
~answer_language,de
Это стол. Стол красивый.,Es ist der Tisch. Der Tisch ist schön.
У него есть машина. Машина новая.,Er hat das Auto. Das Auto ist neu.
У ребенка есть кукла. Кукла милая.,Das Kind hat die Puppe. Die Puppe ist nett.
У них есть друзья. Друзья взрослые.,Sie haben die Freunde. Die Freunde sind groß.
Он из Германии. У него есть там семья.,Er kommt aus Deutschland. Er hat dort die Familie.
Учитель устал. У него много уроков.,Der Lehrer ist müde. Er hat viele Stunden.
У Вас(ув) есть дом. Он дорогой.,Sie haben das Haus. Es ist teuer.
У вас есть время.,Ihr habt die Zeit.
У кошки есть кровать.,Die Katze hat das Bett.
Ты дома.,Du bist zuhause.
Подруга грустная.,Die Freundin ist traurig.
Ресторан хороший. У них есть лосось.,Das Restaurant ist schön. Sie haben Lachs.
Мы сейчас в Австрии.,Wir sind jetzt in Österreich.
Носки новые.,Die Socken sind neu.
У Вас(ув) есть молоко.,Sie haben die Milch.
Уже поздно.,Es ist schon spät.
У нее много друзей.,Sie hat viele Freunde.
У меня есть кошка. Она маленькая.,Ich habe die Katze. Sie ist klein.
Кровать большая.,Das Bett ist groß.
У нас есть работа.,Wir haben die Arbeit.
У ребенка есть учительница.,Das Kind hat die Lehrerin.
Друзья сегодня уставшие.,Die Freunde sind heute müde.
Кукла очень дорогая.,Die Puppe ist sehr teuer.
У нас мало лосося.,Wir haben wenig Lachs.
Он очень уставший.,Er ist sehr müde.
У них есть кровать. Она большая.,Sie haben das Bett. Es ist groß.
У него есть носки. Они дорогие.,Er hat die Socken. Sie sind teuer.
Уроки уже очень длинные.,Die Stunden sind schon sehr lang.
Ресторан маленький.,Das Restaurant ist klein.
У нее есть кукла. Она красивая.,Sie hat die Puppe. Sie ist schön.
У тебя есть (неопр) стол. Стол большой.,Du hast einen Tisch. Der Tisch ist groß.
У тебя есть большая (неопр) собака.,Du hast einen großen Hund.
У тебя есть (неопр) шкаф.,Du hast einen Schrank.
