Question,Answer
~question_language,ru
~answer_language,de
Любовь живёт сегодня онлайн.,Die Liebe lebt heute online. 
США – государство.,Die USA sind ein Staat.   
Недвижимость дорогая.,Die Immobilien sind teuer.
Ученики умные.,Die Schüler sind klug.
Паспорта старые.,Die Pässe sind alt.
"Кресла новые, но диваны старые.","Die Sessel sind neu, aber die Sofas sind alt."
Люди пишут письма.,Die Menschen schreiben die Briefe. 
Сыновья красивые и дочери умные.,Die Söhne sind schön und die Töchter sind klug.
