De,Ru
~reverse,True
die Tasche,карман / сумка
kaufen,покупать
empfehlen,"советовать, рекомендовать"
einkaufen,делать покупки
die Größe,размер
verkaufen,продавать
die Jacke,куртка
der Verkäufer,продавец
die Kleidung,вещи / одежда
kosten,стоить
der Schuh,ботинок
der Preis,цена
die Heimat,родина
der Ausländer,иностранец
reisen,путешествовать
wandern,ходить в пеший поход
ausländisch,иностранный
die Reise,путешествие
das Hotel,гостиница / отель
das Reisebüro,бюро путешествий
die Rezeption,рецепция
der Reiseführer,гид
das Doppelzimmer,комната на двоих в отеле
der Koffer,чемодан
das Einzelzimmer,комната на одного в отеле
das Gepäck,багаж
die Halbpension,полупансион
abfahren,выезжать / отъезжать / отправляться
die Karte,карта
die Abfahrt,отправление / отъезд
der Ausflug,экскурсия / поездка с целью развлечения
abfliegen,вылетать
der Plan,план
der Abflug,вылет
eilig,спешный / спешно
ankommen,прибывать на место
die Eile,спешка
die Ankunft,прибытие
die Sehenswürdigkeit,достопримечательность
das Ausland,заграница
besichtigen,осматривать
das Auto,машина
das Fahrrad,велосипед
die Autobahn,скоростная трасса
Rad fahren,ехать на велосипеде
das Taxi,такси
der Lkw,грузовик
der Fahrer,водитель
die Fahrkarte,проездной билет
der Bus,автобус
das Ticket,билет
die Haltestelle,остановка транспорта
einsteigen,входить / садиться
die Bahn,железная дорога
aussteigen,выходить
die S-Bahn,пригородная электричка в германии
frei,свободно / свободный
die Straßenbahn,трамвай
besetzt,занято
der Zug,поезд
langsam,медленный
der Bahnhof,вокзал
schnell,быстрый
der Bahnsteig,железнодорожная платформа
der Automat,автомат
das Gleis,железнодорожный путь
automatisch,автоматически
das Flugzeug,самолёт
die Maschine,механизм / станок
der Flughafen,аэропорт
das Schild,знак [дорожный] / щит / вывеска / табличка
der Kopf,голова
aussehen,выглядеть
der Arm,рука
(sich) anziehen,одевать(ся)
die Hand,кисть руки
(sich) ausziehen,раздевать(ся)
das Bein,нога
baden,принимать ванну / купаться
der Fuß,стопа
(sich) duschen,мыть(ся) в душе
der Bauch,живот
sich waschen,мыться
das Haar,волос
krank,больной
der Mund,рот
wehtun,делать больно
das Auge,глаз
das Fieber,жар
der Blick,взгляд
der Arzt,врач / доктор
das Gewicht,вес
der Doktor,доктор
geboren,рожден(а)
gestorben,умер(ла)
leben,жить
tot,мёртвый
das Leben,жизнь
der Kindergarten,детский сад
die Hausaufgabe,домашняя работа
