Question,Answer
~reverse,False
~forward,False

Притяжательные местоименные прилагательные (атрибутивные)

meiner,мой; Genitiv
deiner,твой; Genitiv
seiner,его(от он); Genitiv
ihrer,её; Genitiv
seiner,его(от оно); Genitiv
unser,наш; Genitiv
eurer,ваш; Genitiv
ihrer,их; Genitiv
Ihrer,Ваш(ув); Genitiv


Самостоятельные притяжательные местоимения (субстантивированные)
Местоимения-заместители (Possessivpronomen), также в Genitiv
Это самостоятельные притяжательные местоимения, когда существительное не произносится, и местоимение стоит само по себе.

meiner,моего Genitiv (1 лицо ед.ч.)
deiner,твоего Genitiv (2 лицо ед.ч.)
seiner,его Genitiv (3 лицо ед.ч. муж.р.)
ihrer,её Genitiv (3 лицо ед.ч. жен.р.)
seiner,его Genitiv (3 лицо ед.ч. ср.р.)
unser,нашего Genitiv (1 лицо мн.ч.)
euer,вашего Genitiv (2 лицо мн.ч.)
ihrer,их Genitiv (3 лицо мн.ч.)
Ihrer,Вашего(ув) Genitiv (вежл. форма)

Группа	Что это	Где используется	Пример
1. mein-, dein-, sein- + окончание	Притяжательные местоименные прилагательные (атрибутивные)	перед существительным	meiner Mutter — моей матери
2. meiner, deiner, seiner…	Самостоятельные притяжательные местоимения (субстантивированные)	вместо существительного	Das ist meiner. — Это моё
