Question,Answer
~question_language,ru
~answer_language,de
По утрам я пью томатный сок и ем хлеб с вареньем (мармеладом).,Am Morgen trinke ich Tomatensaft und esse ein Marmeladenbrot.
"Я вижу около холодильника бутылку шампанского, пиво, чай, кофе и газету. ","Ich sehe neben dem Kühlschrank eine Flasche Sekt, ein Bier, Tee, Kaffee und eine Zeitung."
Я перехожу улицу на (досл: у) зелёный свет.,Ich gehe über die Straße bei Grün/Bei Grün gehe ich über die Straße.
Эта собака плывет через реку.,Der Hund schwimmt über den Fluss.
"Девочка покупает рыбу, молоко, лимонад и курочку.","Das Mädchen kauft den Fisch, die Milch, die Limo und das Hühnchen."
Сегодня я иду в кино.,Heute gehe ich ins Kino.
Курение - плохо для здоровья.,Das Rauchen ist schlecht für die Gesundheit.
"Небо яркое (светлое), облако серое, дуб зелёный.","Der Himmel ist hell, die Wolke ist grau, die Eiche ist grün."
"Водка горькая, шампанское кислое, пиво холодное. ","Der Wodka ist bitter, der Sekt ist sauer, das Bier ist kalt."
Золото дорогое. Серебро доступное (по цене).,Das Gold ist teuer. Das Silber ist günstig.
Лампа и банка колы стоят на столе.,Die Lampe und die Dose Cola stehen auf dem Tisch.
Облако темное.,Die Wolke ist dunkel.
Береза растет в лесу.,Die Birke wächst in dem Wald.
Девушка путешествует по горам.,Das Mädchen wandert in dem Gebirge.
Фольксваген — это автомобиль.,Der Volkswagen ist das Auto.
Отель на Одере называется «Железо».,Das Hotel an der Oder heißt «das Eisen».
Это аптека «Орёл».,Das ist die Apotheke Adler.
Студент молод.,Der Student ist jung.
Зима в Германии не такая холодная.,Der Winter ist nicht so kalt in Deutschland.
Февраль — месяц любви.,Der Februar ist der Monat der Liebe.
Ученица получает пятерку.,Die Schülerin kriegt das Fünf.
Рейн большой,Der Rhein ist groß
Упражнение очень легкое.,Die Übung ist sehr leicht.
На школьном дворе (какая-то) драка.,Im Schulhof ist die (какая-то) Prügelei.
Я вижу елку.,Ich sehe den Tannenbaum.
Шекспир не нравится,Der Sekt schmeckt nicht
Я ем мед ночью.,Ich esse den Honig in der Nacht.
Маркус читает книгу утром.,Markus liest das Buch an dem Vormittag.
Понедельник неплохой.,Der Montag ist nicht schlecht.
Неделя нелегкая.,Die Woche ist nicht leicht.
Трус не играет в хоккей.,Der Feigling spielt nicht Hockey.
