De,Ru,Learned
~reverse,True
die Freude,радость
die Besserung,выздоровление,-
der Geburtstag,день рождения,-
die Gesundheit,здоровье,-
die Liebe,любовь,-
das Weihnachten,Рождество,-
der Tod,смерть,-
die Menschheit,человечество,-
die Geschichte,история
die Polizei,полиция,-
der Kopf,голова,-
die Etage,этаж,-
der Ort,место,-
der Name,имя,-
das Geld,деньги,-
die Probe,проба / репетиция,-
die Nachricht,сообщение / новость
der Bescheid,решение / ответ
der Sinn,смысл
der Sohn,сын,-
der Spaß,веселье,-
das Klavier,пианино / фортепиано
die Geige,скрипка
das Instrument,инструмент
die Wohnung,квартира
das Eis,мороженое
der Kuchen,пирог
das Getränk,напиток
der Saft,сок
die Schokolade,шоколад
das Spielzeug,игрушка
das Geschenk,подарок
das Land,страна
die Sprache,речь / язык
das Zimmer,комната
das Brötchen,булочка
die Anzeige,объявление / заявление
die Straße,улица
das Foto,фото
das Gespräch,разговор
das Dokument,документ
das Handy,мобильный телефон
das Geschirr,посуда
der Regenschirm,зонт
die Fenster,окно
die Wand,стена
das Ferien,каникулы
die Tür,дверь
der Urlaub,отпуск
die Lampe,лампа
der Tunnel,тоннель
der Arzt,врач / доктор
das Hotel,гостиница / отель
der Lehrer,учитель
das Tier,животное / зверь
die Nachbar,соседи
der Plan,план
das Gesetz,закон
das Konzert,концерт
der Strand,(морской) берег / пляж
der Park,парк
der Stuhl,стул
die Brücke,мост
das Problem,проблема
der Eingang,вход / подъезд
der Schrank,шкаф
das Regal,полка / стеллаж
die Gebäude,здание / сооружение / строение
