Question,Answer
~question_language,ru
~answer_language,de
По утрам я пью томатный сок и ем хлеб с вареньем (мармеладом).,Am Morgen trinke ich Tomatensaft und esse ein Marmeladenbrot.
"Я вижу около холодильника бутылку шампанского, пиво, чай, кофе и газету. ","Ich sehe neben dem Kühlschrank eine Flasche Sekt, ein Bier, Tee, Kaffee und eine Zeitung."
Я перехожу улицу на зелёный свет (дословно: у зелёного цвета я перехожу улицу). ,Ich gehe über die Straße bei Grün/Bei Grün gehe ich über die Straße.
(Эта) Собака плывет через реку. ,Der Hund schwimmt über den Fluss.
"Девочка покупает рыбу, молоко, лимонад и курочку.","Das Mädchen kauft den Fisch, die Milch, die Limo und das Hühnchen."
Сегодня я иду в кино.,Heute gehe ich ins Kino.
Курение плохо для здоровья. ,Das Rauchen ist schlecht für die Gesundheit.
"Небо яркое (светлое), облако серое, дуб зелёный.","Der Himmel ist hell, die Wolke ist grau, die Eiche ist grün."
"Водка горькая, шампанское кислое, пиво холодное. ","Der Wodka ist bitter, der Sekt ist sauer, das Bier ist kalt."
Золото дорогое. Серебро доступное (по цене).,Das Gold ist teuer. Das Silber ist günstig.
~question_language,de
___ Lampe und ___ Dose Cola stehen auf dem Tisch., "die, die"
___ Wolke ist dunkel.,die
___ Birke wächst in ___ Wald. ,"die, dem"
___ Mädchen wandert in ___ Gebirge. ,"das, dem"
___ Volkswagen ist ____ Auto.,"der, das"
___ Hotel an ___ Oder heißt «___ Eisen».,"das, der, das"
Das ist ___ Apotheke Adler.,die
___ Student ist jung.,der
___ Winter ist nicht so kalt in Deutschland.,der
___ Februar ist ___ Monat der Liebe. ,"der, der"
___ Schülerin kriegt ___ Fünf. ,"die, das"
"___ Rhein ist groß, aber ___ Elbe nicht.","der, die"
___ Übung ist sehr leicht.,die
Im Schulhof ist ___ (какая-то) Prügelei.,die
Ich sehe ___ Tannenbaum.,den
"___ Sekt schmeckt nicht, aber ___ Bier ist lecker. ","der, das"
Ich esse ___ Honig in ___ Nacht.,"den, der"
Markus liest ___ Buch an ___ Vormittag.,"das, dem"
___ Montag ist nicht schlecht.,der
___ Woche ist nicht leicht.,die
___ Feigling spielt nicht Hockey.,der
Männlein,das
Schnee,der
Universität,die
Einsamkeit,die
Kranich,der
Akustik,die
Instrument,das
Dirigent,der
Komponist,der
Violinistin,die
Publikum,das
Uraufführung,die
Proben,die
Rhythmus,der
Patient,der
Krankheit,die
Krankenversicherung,die
Medikament,das
Klinik,die
Röntgen,der
Ärztin,die
Injektion,die
Immunität,die
Chirurgie,die
Wissen,das
Schülerin,die
Lehrer,der
Mathematik,die
Prüfung,die
Experiment,das
Freundschaft,die
Abreisedatum,das
König,der
Produktmarketing,das
Augenblick,der
