Question,Answer
~question_language,ru
~answer_language,de
Чай с сахаром слишком сладкий. (Dativ),Der Tee mit Zucker ist zu süß.
Я пишу шариковой ручкой. (Dativ),Ich schreibe mit dem Kugelschreiber/mit dem Kuli.
Мама едет в Мюнхен. (Dativ),Die Mutter fährt nach München.
Брат придёт через час. (Dativ),Der Bruder kommt in einer Stunde
Мы вышли из ресторана. (Dativ),Wir gingen aus dem Restaurant.
Анна едет на вокзал. (Dativ),Anna fährt zum Bahnhof.
Это письмо от папы. (Dativ),Das ist ein Brief von dem Vater.
Книга у подруги. (Dativ),Das Buch ist bei der Freundin.
Я работаю с сентября. (Dativ),Ich arbeite seit September.
Я иду по улице. (Akkusativ),Ich gehe durch die Straße.
Это цветок для Сабрины. (Akkusativ),Das ist Blume für Sabrina.
Кофе без сахара горький. (Akkusativ),Der Kaffee ohne Zucker ist bitter.
Все сидят вокруг стола. (Akkusativ),Alle sitzen um den Tisch.
Я приду после занятия. (Dativ),Ich komme nach dem Unterricht.
Мы читаем «Гарри Поттера» Джоан Роулинг. (Dativ),Wir lesen "Harry Potter" von Joan Rowling.
Он у врача. (Dativ),Er ist beim Arzt.
Мария идёт на почту. (Dativ),Maria geht zur Post.
Я дарю маме шоколад. (Dativ),Ich schenke der Mutter die Schokolade.
Яблоко с дерева. (Dativ),Der Apfel ist von dem Baum.
Вечером я иду в театр. (Akkusativ),Am Abend gehe ich ins Theater.
Николь встречается с Марком в 11 часов. (Akkusativ),Nicole trifft Mark um 11 Uhr.
Я пью кофе без молока и сахара. (Akkusativ),Ich trinke Kaffee ohne Milch und Zucker.
Мы учимся до мая. (Akkusativ),Wir studieren/lernen bis Mai.
Все сидят вокруг стола. (Akkusativ),Alle sitzen um den Tisch.
Люди идут через лес. (Akkusativ),Die Menschen gehen durch den Wald.
Для подруги работа не сложная. (Akkusativ),Für die Freundin ist die Arbeit nicht schwer.
Девочка покупает еду для кошки. (Akkusativ),Das Mädchen kauft das Essen für die Katze.
Я ем всё без соли. (Akkusativ),Ich esse alles ohne Salz.
Папа покупает хлеб. (Akkusativ),Der Vater kauft das Brot.
Продукты в магазине дешевые.,Die Lebensmittel im Geschäft sind billig.

~question_language,de
Ich kaufe bittere Schokolade ___ die Mutter. — Я покупаю горький шоколад для мамы. (Dativ или Akkusativ),für
Wir gehen ____ der Arbeit ____ Hause. — Мы пойдем после работы домой. (Dativ или Akkusativ),"nach, nach"
Ich komme ___ dir ___ Berlin. — Я приеду к тебе в Берлин. (Dativ или Akkusativ),"zu, nach"
Anna geht ___ dem Freund ____ dem Bahnhof. — Анна идёт со своим другом на вокзал. (Dativ или Akkusativ),"mit, zu"
___ drei Tagen bleibt die Katze ___ mir. — Уже два дня остаётся кошка у меня. (Dativ или Akkusativ),"seit, bei"
Ich bin ____ dem Arzt. — Я у врача. (Dativ или Akkusativ),bei
Max fährt ___ Frankreich ___ sie. — Макс поехал во Францию без неё. (Dativ или Akkusativ),"nach, ohne"
Wir gehen ____ dem Kino. — Мы идём из кино. (Dativ или Akkusativ),aus
