De,Ru
eins,единица [число] / один [при счёте]
vier,четвёрка / четыре
fünf,пятёрка / пять
sechs,шестёрка / шесть
sieben,семь
acht,восемь
neun,девять
zehn,десять
zwanzig,двадцать
fünfzig,пятьдесят
hundert,сто
tausend,тысяча
siebzehn,семнадцать
achtzehn,восемнадцать
neunzehn,девятнадцать
dreißig,тридцать
vierzig,сорок
sechzig,шестьдесят
siebzig,семьдесят
achtzig,восемьдесят
elf,одиннадцать
neunzig,девяносто
zwölf,двенадцать
dreizehn,тринадцать
vierzehn,четырнадцать
die Million,миллион
fünfzehn,пятнадцать
sechzehn,шестнадцать
der Meter,метр
der Liter,литр
der Zentimeter,сантиметр
das Gramm,грамм
der Quadratmeter,квадратный метр
das Kilogramm,килограмм
das Prozent,процент
das Pfund,фунт
