De,Ru,Priority,Learned,Skip
(Учитель говорит) Мария может не писать.,,9,0,-
(Эта) Собака плывет через реку. ,,9,0,-
(Это) дерево очень большое и старое.,,9,0,-
(Этот) кролик белый.,,9,0,-
"(конкретная) Учительница строгая, но справедливая",,9,0,-
(эта конкретная) Девочка не глупая.,,9,0,-
(этот конкретный) Учитель приходит.,,9,0,-
(этот) Человек умный.,,9,0,-
-ant,,9,0,-
-chen,,9,0,-
-e,,9,0,-
-ei,,9,0,-
-ent,,9,0,-
-er,,9,0,-
-eur,,9,0,-
-heit,,9,0,-
-ich,,9,0,-
-ig,,9,0,-
-ik,,9,0,-
-in,,9,0,-
-ismus,,9,0,-
-ist,,9,0,-
-keit,,9,0,-
-lein,,9,0,-
-ling,,9,0,-
-loge,,9,0,-
-ma,,9,0,-
-ment,,9,0,-
-or,,9,0,-
-schaft,,9,0,-
-tion,,9,0,-
-tät,,9,0,-
-um,,9,0,-
-ung,,9,0,-
-us,,9,0,-
-är,,9,0,-
A,,9,0,-
Abreisedatum,,9,0,-
Achtung!,Внимание!,9,0,-
Akkusativ,,9,0,-
Akustik,,9,0,-
Anna geht ___ dem Freund ____ dem Bahnhof. — Анна идёт со своим другом на вокзал. (Dativ или Akkusativ),,9,0,-
Auf Wiederhören!,Услышимся!,9,0,-
Auf Wiedersehen,до свидания,9,0,-
Auf Wiedersehen!,До встречи!,9,0,-
Augenblick,,9,0,-
B,,9,0,-
Bestimmter Artikel,,9,0,-
Bitte!,Please!,9,0,-
C,,9,0,-
Chirurgie,,9,0,-
D,,9,0,-
Danke!,Thank you!,9,0,-
Das Geschenk ist für ___ Kind.,,9,0,-
Das Krankenhaus,больница {ж} / стационар {м},3,9,
Das ist ___ Apotheke Adler.,,9,0,-
Das ist ein Brief von ___ Freundin.,,9,0,-
Dativ,,9,0,-
Die Bewohner können ……… abends nicht ………. (sich entspannen),,9,0,-
Dirigent,,9,0,-
E,,9,0,-
Einsamkeit,,9,0,-
Entschuldigung,простите,9,0,-
Entschuldigung!,Sorry!,9,0,-
Er kommt aus ___ Haus.,,9,0,-
Er wohnt bei ___ Eltern.,,9,0,-
Experiment,,9,0,-
Eе племянница приезжает из Америки.,,9,0,-
F,,9,0,-
Feminin,,9,0,-
Fragewörter,,9,0,-
Freundschaft,,9,0,-
Futur,,9,0,-
G,,9,0,-
Ge-,,9,0,-
Genitiv,,9,0,-
Gerne!,Охотно! С удовольствием!,9,0,-
Gibt es …?,Is there …?,9,0,-
"Gold, Silber, Eisen, Kupfer",,9,0,-
Guten Tag,добрый день,9,0,-
Guten Tag!,Hello!,9,0,-
H,,9,0,-
Hallo!,Привет!,9,0,-
"Hotel, Cafe, Kino",,9,0,-
I,,9,0,-
Ich bin ____ dem Arzt. — Я у врача. (Dativ или Akkusativ),,9,0,-
Ich brauche …,I need ...,9,0,-
"Ich denke, dass sie ……… über Nachbarn ……… und die Polizei anrufen. (sich beschweren über)",,9,0,-
Ich esse ___ Honig in ___ Nacht.,,9,0,-
Ich gehe ohne ___ Mantel.,,9,0,-
Ich gehe zu ___ Arzt.,,9,0,-
"Ich hoffe, dass ich ……… dort gut ……… kann. (sich ausruhen)",,9,0,-
Ich hätte gerne …,I would like ...,9,0,-
Ich kaufe bittere Schokolade ___ die Mutter. — Я покупаю горький шоколад для мамы. (Dativ или Akkusativ),,9,0,-
Ich komme ___ dir ___ Berlin. — Я приеду к тебе в Берлин. (Dativ или Akkusativ),,9,0,-
Ich lerne Deutsch,я учу немецкий,9,0,-
Ich sehe ___ Tannenbaum.,,9,0,-
Ich spreche ein bisschen Deutsch,я немного говорю по-немецки,9,0,-
Ich suche ……… etwas Neues immer gerne. (sich suchen),,9,0,-
Ich verstehe nicht,я не понимаю,9,0,-
Ich warte auf ___ Freund.,,9,0,-
Ich ……… in andere Wohnung ………. (umziehen),,9,0,-
Ihnen,,9,0,-
Ihr,"Притяжательные Винительный, ср. род, Sie",9,0,-
Ihr (form.),,9,0,-
Ihre,"Притяжательные Винительный, мн. число, Sie",9,0,-
Ihrem,"Притяжательные Дательный, ср. род, Sie",9,0,-
Ihren,"Притяжательные Дательный, мн. число, Sie",9,0,-
Ihrer,"Притяжательные Родительный, мн. число, Sie",9,0,-
Ihres,"Притяжательные Родительный, ср. род, Sie",9,0,-
Im Schulhof ist ___ (какая-то) Prügelei.,,9,0,-
Immunität,,9,0,-
Imperativ,,9,0,-
Injektion,,9,0,-
Instrument,,9,0,-
J,,9,0,-
