De,Ru
acht,восемь
achtzehn,восемнадцать
achtzig,восемьдесят
die Milliarde,миллиард
die Million,миллион
dreizehn,тринадцать
dreißig,тридцать
eins,один
elf,одиннадцать
fünfzehn,пятнадцать
fünfzig,пятьдесят
hundert,сто
neun,девять
neunzehn,девятнадцать
neunzig,девяносто
sechzehn,шестнадцать
sechzig,шестьдесят
sieben,семь
siebzehn,семнадцать
siebzig,семьдесят
tausend,тысяча
vierzehn,четырнадцать
vierzig,сорок
zehn,десять
zwölf,двенадцать
zwanzig,двадцать
vier,четыре
die Milliarde,миллиард

mehr,больше,-
weniger,меньше,-
gleich,равно / вот-вот,-
viel,много,-
wie viel,как много?
bisschen,немного
wenig,мало,-
alles,всё,-
nichts,ничего,-
etwas,что-то / немного,-
alle,все,-
jeder,каждый,-
kein,никакой / нет,-
circa,примерно / приблизительно

das Kilogramm,килограмм
das Pfund,фунт
das Prozent,процент
der Liter,литр
der Meter,метр
der Quadratmeter,квадратный метр
der Zentimeter,сантиметр
das Gramm,грамм

der Norden,север
der Osten,восток
der Süden,юг
der Westen,запад
