Question,Answer
~question_language,ru
~answer_language,de
Здесь стоит (какой-то) стол.,Hier steht ein Tisch.
(Это) дерево очень большое и старое.,Der Baum ist sehr groß und alt.
Это комната. (Эта) комната маленькая и уродливая., Das ist ein Zimmer. Das Zimmer ist klein und hässlich.
Он хороший работник.,Er ist ein guter Arbeiter.
Ты прекрасна как цветок.,Du bist schön wie eine Blume.
Это ваза. (Эта) ваза новая.,Das ist eine Vase. Die Vase ist neu.
(этот конкретный) Учитель приходит.,Der Lehrer kommt.
Эта женщина очень хорошо поёт.,Die Frau singt sehr gut.
Сегодня небо тёмное.,Der Himmel ist dunkel heute.
(Этот) кролик белый.,Das Kaninchen ist weiß.
"(конкретная) Учительница строгая, но справедливая","Die Lehrerin ist streng, aber gerecht."
Это (какой-то) цветок. Цветок красивый.,Das ist eine Blume. Die Blume ist schön.
Это (какое-то) здание. Здание уродливое.,Das ist ein Gebäude. Das Gebäude ist hässlich.
(этот) Человек умный.,Der Mann ist klug.
Это (какой-то) ученик.,Das ist ein Schüler.
Солнце яркое.,Die Sonne ist hell.
(эта конкретная) Девочка не глупая.,Das Mädchen ist nicht dumm.
Берлин — (один) большой город.,Berlin - ist eine Großstadt.
