Question,Answer
Это моя книга.,Das ist mein Buch.
Её мама покупает (неопр) дом.,Ihre Mutter kauft ein Haus.
Твой подарок прекрасен.,Dein Geschenk ist schön.
Его сестра усталая.,Seine Schwester ist müde.
Твои родители тоже родом из России?,Kommen deine Eltern auch aus Russland?
Ваш ребёнок плачет слишком громко.,Euer Kind weint zu laut.
Наш автомобиль быстрый.,Unser Auto ist schnell.
Мои книги в шкафу.,Meine Bücher sind im Schrank.
Ваши родители учителя?,Sind Ihre Eltern Lehrer?
Его друг идёт в кино.,Sein Freund geht ins Kino.
Наша собака чёрная.,Unser Hund ist schwarz.
Их дом (находится / есть) в деревне.,Ihr Haus ist im Dorf.
Ваше мнение важное.,Ihre Meinung ist wichtig.
Он дарит куклы своим сёстрам.,Er schenkt die Puppen seinen Schwestern. 
Моя квартира не большая.,Meine Wohnung ist nicht groß. 
Её муж богатый.,Ihr Mann ist reich.
Его жена бедная.,Seine Frau ist arm.
Его собака больная.,Sein Hund ist krank.
Ваш отец (неопр) врач.,Euer Vater ist ein Arzt.
Её платье длинное и красивое.,Ihr Kleid ist lang und schön.
Мои друзья скучные.,Meine Freunde sind langweilig.
Твоя одежда слишком короткая.,Deine Kleidung ist zu kurz.
Твой торт холодный.,Ihr Kuchen ist kalt.
Твои газеты новые.,Eure Zeitungen sind neu.
Его сестре 34 года.,Seine Schwester ist 34 Jahre alt.
Ее брат небогат.,Ihr Bruder ist nicht reich.
У нашего учителя сегодня день рождения.,Unsere Lehrerin hat heute Geburtstag.
Ваши дома красивые,Ihre Häuser sind wunderschön
Наш внук осенью пойдет в первый класс.,Unser Enkel geht im Herbst in die erste Klasse. 
Когда ваш племянник приедет в Вену?,Wann kommt ihr Neffe nach Wien?
Мои родители никогда не разрешают.,Meine Eltern erlauben das nie. 
Твой будильник звонит в 6 часов.,Dein Wecker klingelt um 6 Uhr.
Его дети уже выросли.,Seine Kinder sind schon erwachsen.
Eе племянница приезжает из Америки.,Ihre Nichte kommt aus Amerika.
Мой парень любит плавать летом.,Mein Freund schwimmt gern im Sommer.
День рождения твоего отца - весной.,Dein Vater hat Geburtstag im Frühling.
Я посещаю моего врача. — Ich besuche meinen Arzt.,Ich besuche meinen Arzt.
Он берет свой паспорт.,Er nimmt seinen Ausweis.
Она продает свой дом.,Sie verkauft ihr Haus.
Девочка звонит своей матери.,Das Mädchen ruft ihre Mutter an.
Она читает наше сообщение.,Sie liest unsere Nachricht.
Мы спрашиваем нашу подругу.,Wir fragen unsere Freundin.
Они ищут их сумку.,Sie suchen ihre Tasche.
Он приветствует своего учителя.,Er begrüßt seinen Lehrer.
Вы(ув) ставите свой чемодан.,Sie stellen Ihren Koffer.
Он приносит мой стакан.,Er bringt mein Glas.
Вы показываете свою фотографию.,Ihr zeigt euer Foto.
Вы(ув) рассказываете ее историю.,Sie erzählen ihre Geschichte.
Мы пишем его номер телефона.,Wir schreiben seine Telefonnummer.
Они читают его книги.,Sie lesen seine Bücher.
