Question,Answer
~reverse,True
empfehlen,советовать
fallen,падать,-
fangen,ловить
geben,давать,-
laufen,"бегать, ходить"
lesen,читать,-
nehmen,брать
stehlen,красть,-
tragen,носить
treffen,встречать,-
vergessen,забывать,-
wachsen,расти
werden,становиться
denken,думать,-
wissen,знать о чём-то
kennen,быть знакомым
glauben,верить / считать
sagen,сказать,-
fragen,спросить,-
antworten,отвечать,-
fühlen,чувствовать,-
lieben,любить,-
gehen,идти,-
kommen,"приходить, приезжать",-
sehen,видеть,-
hören,слышать,-
essen,есть (кушать),-
trinken,пить,-
schlafen,спать,-
arbeiten,работать,-
leben,жить,-
singen,петь,-
malen,рисовать,-
lernen,учить,-
sprechen,говорить,-
spielen,играть,-
sitzen,сидеть,-
kochen,готовить,-
reparieren,чинить,-
wohnen,жить (проживать в городе),-
fahren,ездить,-
tanzen,танцевать,-
weinen,плакать,-
machen,делать,-
kaufen,покупать,-
bleiben,оставаться,-
bestellen,заказывать,-
frühstücken,завтракать,-
waschen,"мыть, стирать",-
helfen,помогать,-
schaffen,справляться / создавать
herzen,обнимать,-
proben,репетировать,-
heißen,называться
nutzen,использовать
