De,Ru,Learned
~reverse,True
fallen,падать,-
fangen,ловить
lesen,читать,-
nehmen,брать
stehlen,красть,-
tragen,носить
treffen,встречать,-
vergessen,забывать,-
wachsen,расти
werden,становиться
denken,думать,-
wissen,знать о чём-то
kennen,быть знакомым
glauben,верить / считать
sagen,сказать
antworten,отвечать,-
fühlen,чувствовать,-
lieben,любить,-
gehen,идти,-
sehen,видеть,-
hören,слышать,-
essen,есть (принимать пищу)
trinken,пить,-
schlafen,спать,-
arbeiten,работать,-
leben,жить,-
singen,петь,-
malen,рисовать
lernen,учить [что-нибудь]
sprechen,говорить
spielen,играть,-
sitzen,сидеть,-
kochen,готовить,-
reparieren,чинить,-
wohnen,жить (проживать в городе)
fahren,ехать
tanzen,танцевать,-
weinen,плакать,-
machen,делать,-
kaufen,покупать,-
bleiben,оставаться,-
bestellen,заказывать,-
frühstücken,завтракать,-
waschen,стирать
helfen,помогать,-
verstehen,понимать
stehen,стоять
liegen,лежать
