Question,Answer
Почему он здесь сидит?, Warum sitzt er?
Как Вас(ув) зовут?,Wie heißen Sie?
Что ты говоришь сейчас?,Was sagst du jetzt?
Из какой ты страны?,Woher kommst du?
Что ты здесь ищешь?,Was suchst du hier?
Как называется страна?,Wie heißt das Land?
На каком языке ты говоришь?,Welche Sprache sprichst du?
Что они едят?,Was essen sie?
Кто это заказывает?,Wer bestellt das?
Что делает девочка?,Was macht das Mädchen?
Что вы делаете вместе?,Was macht ihr zusammen?
Где он остается?,Wo bleibt er?
Что она читает?,Was liest sie?
Как Вы(ув) думаете?,Was meinen Sie?
Что готовит женщина?,Was kocht die Frau?
Где Вы(ув) живете?,Wo wohnen Sie?
Куда они идут вместе?,Wohin gehen sie zusammen?
Сколько стоит машина?,Wie viel kostet das Auto?
Она говорит на немецком?,Spricht sie Deutsch?
Знаешь ли ты улицу?,Kennst du die Straße?
Ты уже читаешь сообщение?,Liest du schon die Nachricht?
У тебя есть еще один телефонный номер?,Hast du noch eine Telefonnummer?
Они пьют молоко?,Trinken sie Milch?
Ты ешь бутерброд?,Isst du das Brötchen?
Ищете ли вы квартиру?,Sucht ihr die Wohnung?
Видит ли он комнату?,Sieht er das Zimmer?
Ты пишешь объявление?,Schreibst du die Anzeige?
Встает ли он рано?,Steht er früh auf?
Ты читаешь газету?,Liest du die Zeitung?
Продает ли она дом?,Verkauft sie das Haus?
Считаете ли Вы(ув) город красивым?,Finden Sie die Stadt schön?
Получаете ли вы документ?,Bekommt ihr das Dokument?
Сидит ли он здесь?,Sitzt er hier?
Берет ли она телефон?,Nimmt sie das Handy?
Моем ли мы посуду?,Spülen wir das Geschirr?
Приносят ли они зонт?,Bringen sie den Regenschirm?
Откуда вы идете?,Woher kommt ihr?
Куда вы пойдете гулять завтра?,Wo gehst du morgen spazieren?
Кому он должен помочь сегодня?,Wem soll er heute helfen?
Как поживает ребёнок?,Wie geht es dem Kind?
Почему ты читаешь газету?,Warum liest du die Zeitung?
Когда я увижу своего друга?,Wann sehe ich den Freund?
Где я могу найти кинотеатр?,Wo kann ich das Kino finden?
