De,Ru,Learned
~reverse,True
nicht,не,-
zu,слишком,-
als,по сравнению с
nach,после,-
ab,(предлоги) с / от (начиная с - в будущем),-
ohne,без,-
bis,(предлог) до,-
wegen,из-за
gegen,против,-
ja,да,-
nein,нет,-
doch,наоборот(опровержение отрицания),-
auch,тоже (подчёркивание; добавление),-
bloß,только (предостережение),-
nur,только (ограничение; совет),-
ganz,весь / совсем,-
denn,потому что,-
fast,почти,-
und,и,-
aber,но,-
oder,или,-
also,итак / значит,-
trotzdem,всё же,-
gar,совсем (усиление; часто с отрицанием),-
so, так / настолько,-
weiter,дальше,-
tja,что ж
weder noch, парный союз: ни это ни то
für,для,-
