Question,Answer
weshalb,по какой причине
deshalb,поэтому
weswegen,из-за чего
deswegen,поэтому / из-за этого
wohin,куда
dahin,туда / в том направлении
woher,откуда
daher,поэтому / оттуда
womit,с чем / с помощью чего
damit,этим / с этим
worin,в чём
darin,в этом
worauf,на чём / на что
darauf,на этом / на это
woraus,из чего / откуда
daraus,из этого / из того
wovon,от чего / о чём
davon,от этого / об этом
wozu,для чего / зачем
dazu,к этому / для этого / вдобавок
wobei,при чём / во время чего
dabei,при этом / вместе с этим
wodurch,посредством чего / о чём / над чем
dadurch,посредством этого / из-за этого
wofür,для чего
dafür,для этого / за это
wogegen,против чего
dagegen,против этого
woan,(австр. бавар.) — во что
daran,на этом / в этом
worüber,о чём / над чем
darüber,над этим / об этом
worunter,под чем
darunter,под этим
wonach,после чего / чему
danach,после этого
worum,о чём / Из-за чего
darum,поэтому / вот почему

daneben,рядом с этим
damals,тогда (в прошлом)
woran, о чём  
