De,Ru
"die Hauptstadt, -¨e",столица
"der Park, -s",парк
"das Zentrum, die Zentren",центр
"die Kirche, -n",церковь
"das Schloss, -¨er",замок
"das Rathaus, -¨er",ратуша
"die Messe, -n",выставка-ярмарка
"der Zoo, -s",зоопарк
"das Kaufhaus, -¨er",торговый дом
"das Einkaufszentrum, -zentren",торговый центр
"der Markt, -¨e",рынок
"der Flohmarkt, -¨e","блошиный рынок, барахолка"
"die Reihe, -n",ряд
"die Kette, -n","цепь, сеть магазинов"
nass,мокрый
trocken,сухой
heiß,"жарко, горячий"
warm,"тепло, тёплый"
kühl,"прохладно, прохладный"
kalt,"холодно, холодный"
dunkel,"тёмный, темно"
neblig,туманно
sonnig,солнечно
windig,ветрено
"der Himmel, —",небо
das Gewitter,гроза
"die Wolke, -n",облако
bewölkt,облачно
der Schnee (Sn.),снег
schneien,идёт снег
"die Natur, -en",природа
"die Landschaft, -en",ландшафт
"der Berg, -e",гора
"die Insel, -n",остров
"der Fluss, -¨e",река
"der Wald, -¨er",лес
"die Pflanze, -n",растение
"das Blatt, -¨er",лист
"die Rose, -n",роза
die Ruhe (Sn.),"тишина, покой"
"das Tier, -e","животное, зверь"
"der Vogel, -¨",птица
"die Katze, -n",кошка
"das Pferd, -e",лошадь
"das Schwein, -e",свинья
"der Motor, -e",мотор
"der Wagen, -¨",автомобиль
"der Motorroller, —",мотороллер
"der Führerschein, -e",водительское удостоверение
parken,парковать
"die Garage, -n",гараж
"der Unfall, -¨e",несчастный случай
"die Werkstatt, -¨en",автосервис
"der Verkehr, -e",транспорт
"das Verkehrsmittel, —",транспортное средство
umsteigen,"пересаживаться (транспорт)"
"die Verspätung, -en",опоздание
"der Stadtplan, -¨e",план города
"der Fahrplan, -¨e",расписание движения
"die Brücke, -n",мост
"die Ampel, -n",светофор
dorther,оттуда
dorthin,вон туда
heraus,сюда наружу
herein,сюда внутрь
vorbei,мимо
vorwärts,прямо вперед
vorne,впереди
außer,кроме / за исключением
außerhalb,за пределами
drinnen,внутри
drüben,"с другой стороны, с той стороны"
gegenüber,напротив
nächste,следующий
neben,рядом (по соседству) с
nirgends,нигде
überall,повсюду
weit,далеко
"das Ziel, -e",цель
die Nähe (Sn.),близость
wegbringen,унести
wegfahren,уехать
weggehen,уйти
weglaufen,убежать
wegnehmen,"отнять, забрать"
werfen,бросать
wegwerfen,выбросить
zurückfahren,ехать обратно
zurückgeben,отдать обратно
zurückgehen,идти обратно
zurückkommen,вернуться
zurücklaufen,бежать обратно
damals,тогда (в прошлом)
erst,"сначала, когда-то"
früh,рано
manchmal,иногда
übermorgen,послезавтра
vorgestern,позавчера
vorher,"перед этим, до этого"
wieder,снова
zuerst,"сначала, для начала"
zuletzt,в завершение
"der Tourist, -en",турист
reservieren,резервировать
buchen,бронировать
packen,собирать чемоданы
einpacken,"упаковать, собрать"
"der Rucksack, -¨e",рюкзак
"der Weg, -e","путь, дорога"
unterwegs sein,быть в пути
"der Flug, -¨e",полёт
"das Schiff, -e",корабль
erreichen,достигать
verpassen,"пропустить, упустить"
"die Unterkunft, -¨e",место для ночлега
auspacken,распаковывать чемоданы
"der Strand, -¨e",пляж
"die Jugendherberge, -n",хостел для молодёжи
verreisen,уезжать
"der Rundgang, -¨e","прогулка, экскурсия"
"die Fundsache, -n","найденная вещь, которую кто-то потерял"
"der Umzug, -¨e",переезд
umziehen,переезжать
einziehen,заезжать в квартиру/дом
"das Stockwerk, -e",этаж
"das Erdgeschoss, -e",первый этаж
"das Wohnzimmer, —",гостиная
"das Schlafzimmer, —",спальня
"der Keller, —",подвал
"die Heizung, -en",отопление
"das Fenster, —",окно
"die Lampe, -n",лампа
"der Stuhl, -¨e",стул
"die Tür, -en",дверь
renovieren,делать ремонт
"der Nachbar, -n",сосед
"der Haushalt, -e",домашнее хозяйство
"das Mittel, —",средство
"die Reinigung, -en","уборка, чистка"
putzen,"чистить, убирать"
aufräumen,убираться
"die Seife, -n",мыло
"die Wäsche, -n",бельё
"das Handtuch, -¨er",полотенце
"der Schirm, -e","ширма, заграждение"
"der Kalender, —",календарь
