Question,Answer
~question_language,de
~answer_language,de
Hier steht __ Tisch. — Здесь стоит (какой-то) стол.,ein
__ Baum ist sehr groß und alt. — (Это) дерево очень большое и старое.,Der
Das ist __ Zimmer. __ Zimmer ist klein und hässlich. — Это комната. (Эта) комната маленькая и уродливая.,"ein, Das"
Er ist __ guter Arbeiter. — Он хороший работник.,ein
Du bist schön wie __ Blume. — Ты прекрасна как цветок.,eine
Das ist __ Vase. __ Vase ist neu. — Это ваза. (Эта) ваза новая.,"eine, Die"
__ Himmel ist dunkel. — Небо тёмное.,Der
__ Lehrer kommt. — (этот конкретный) Учитель приходит.,Der
__ Frau singt sehr gut. — Эта женщина очень хорошо поёт.,Die
__ Himmel ist dunkel heute. — Сегодня небо тёмное.,Der
~question_language,ru
(Этот) кролик белый.,Das Kaninchen ist weiß.
(Это конкретное) Дерево очень старое.,Der Baum ist sehr alt.
"(конкретная) Учительница строгая, но справедливая","Die Lehrerin ist streng, aber gerecht."
Это (какой-то) цветок. Цветок красивый.,Das ist eine Blume. Die Blume ist schön.
Это (какое-то) здание. Здание уродливое.,Das ist ein Gebäude. Das Gebäude ist hässlich.
(этот) Человек умный.,Der Mann ist klug.
Это (какой-то) ученик.,Das ist ein Schüler.
Солнце яркое.,Die Sonne ist hell.
(эта конкретная) Девочка не глупая.,Das Mädchen ist nicht dumm.
Берлин — (один) большой город.,Berlin - ist eine Großstadt.
