Question,Answer
~question_language,ru
~answer_language,de
Он видит хорошо.,Er sieht gut.
Ты спишь часто.,Du schläfst oft.
Друзья бегают много.,Die Freunde laufen viel.
Она падает часто.,Sie fällt oft.
Мы читаем красиво.,Wir lesen schön.
Они станут знаменитыми.,Sie werden berühmt.
Ты всегда всё забываешь.,Du vergisst immer alles.
Девочка едет сейчас.,Das Mädchen fährt jetzt.
Вы (неформально) пишете красиво.,Ihr schreibt schön.
Люди говорят много.,Die Leute sprechen viel.
Я помогаю мало.,Ich helfe wenig.
Ты бегаешь быстро.,Du läufst schnell.
Мальчик крадет часто.,Der Junge stiehlt oft.
Дети растут быстро.,Die Kinder wachsen schnell.
Он читает книгу.,Er liest das Buch.
Вы (неформально) рекомендуете мало.,Ihr empfehlt wenig.
Она носит часы.,Er trägt die Uhr.
Ты спишь мало.,Du schläfst wenig.
Дети падают часто.,Die Kinder fallen oft.
Родители помогают много.,Die Eltern helfen viel.
Сестра моет сейчас кошку.,Die Schwester wäscht jetzt die Katze.
Он ловит кошку.,Er fängt die Katze.
Кошка ловит мышку.,Die Katze fängt die Maus.
Девочка носит кролика.,Das Mädchen trägt das Kaninchen.
Люди часто встречают кошку.,Die Leute treffen oft die Katze.
Мальчик становится большим.,Der Junge wird groß.
Друзья становятся популярными.,Die Freunde werden berühmt.
Ты часто смотришь в (in) книгу.,Du siehst oft in das Buch.
Девочка стирает платье.,Das Mädchen wäscht das Kleid.
Вы (формально) помогаете нам (uns).,Sie helfen uns.
